isbn,title,publishDate,price,pageCount,size,weight,label,author_name_tf,publisher_name_tf
6000027854,스콜피언 1,9220,8000,270,31080,351,0,3,1
6000030199,으뜸글 평양아리,8724,5000,132,33896,185,0,2,2
6000040810,인간의 벽,14754,3400,345,31080,449,0,3,15
6000040811,황금깃털,14866,4000,334,31080,434,0,4,15
6000046295,태양과 그늘 1,8539,8000,304,33896,426,0,1,1
6000072470,지독한 사랑,8531,7500,258,33896,361,0,1,4
6000098996,대물 2,10361,6500,306,31080,398,0,4,5
6000106070,백록담 연가,8940,7500,278,33896,389,0,2,1
6000585358,뿌리 깊은 나무 1,6859,9500,292,33896,409,0,7,3
6000644839,[세트] 황태자비 납치사건 + 천년의 금서 - 전2권,5537,24600,102,24123,143,0,22,18
6000655116,[세트] 불의 여신 정이 1~3 세트 - 전3권,4270,36000,340,26325,1315,0,2,13
6000694778,[세트] 박완서 소설로 그린 자화상 - 전2권,7166,22000,350,29600,1006,0,12,6
6000700914,[세트] 명량 - 전2권,4777,23000,304,30450,790,0,1,1
6000788638,[세트] 선암여고 탐정단 : 방과 후의 미스터리 + 탐정은 연애 금지 - 전2권,4476,27000,420,26800,890,0,1,13
9788260700625,플라타너스,5319,10000,300,27600,390,0,1,4
9788901010502,302명의 아내를 가진 남자,11289,4800,296,31080,414,0,1,6
9788901064345,그녀는 안개와 함께 왔다,6611,9800,302,30246,423,0,2,7
9788901079103,나가사키 파파,6250,10000,304,26325,426,0,1,7
9788901085913,한국 환상문학 단편선,6111,11000,357,33896,500,0,1,1
9788901090634,첫눈,5960,10000,296,26264,414,0,6,7
9788901115139,"잘 자요, 엄마",5267,12000,360,30450,468,0,6,1
9788901117409,화투 치는 고양이,5180,11000,247,29400,321,0,1,7
9788901127569,공작새에게 먹이 주는 소녀,4787,13000,320,29400,416,0,2,7
9788901132495,데스케어 주식회사,4725,13000,296,29400,395,0,2,7
9788901137841,랭보의 바람구두를 신다,4868,14800,508,29400,660,0,2,7
9788901139609,나의 토익 만점 수기,4851,12000,304,30450,395,0,1,6
9788901156194,취향입니다 존중해주시죠,4401,13000,364,30450,485,0,1,6
9788901163031,공부해서 너 가져,4070,13000,308,30450,405,0,2,6
9788906502828,대란 1,10863,5500,304,31080,395,0,1,2
