isbn,title,publishDate,author_id,author_name,publisher_id,publisher_name,price,pageCount,size,weight,rating,shortReviewCount,fullReviewCount,records,label
6000027854 ,스콜피언 1,2000-01-30,10,최진수,159,시간과공간사,8000,270,31080,351,0,,,,0
6000030199 ,으뜸글 평양아리,2001-06-09,4,으뜸 열롤,160,글뫼,5000,132,33896,185,0,,,,0
6000040810 ,인간의 벽,1984-12-05,12,문순태,5,나남출판,3400,345,31080,449,0,,,,0
6000040811 ,황금깃털,1984-08-15,13,서영은,5,나남출판,4000,334,31080,434,0,,,,0
6000046295 ,태양과 그늘 1,2001-12-11,17,정광섭,161,좋은날,8000,304,33896,426,0,,,,0
6000072470 ,지독한 사랑,2001-12-19,20,김혁,162,온누리,7500,258,33896,361,0,,,,0
6000098996 ,대물 2,1996-12-15,23,백시종,115,문학수첩,6500,306,31080,398,0,,,,0
6000106070 ,백록담 연가,2000-11-05,25,노순자,163,열린,7500,278,33896,389,0,,,,0
6000585358 ,뿌리 깊은 나무 1,2006-07-18,43,이정명,164,밀리언하우스,9500,292,33896,409,8.9,69,100,,0
6000644839 ,[세트] 황태자비 납치사건 + 천년의 금서 - 전2권,2010-03-01,46,김진명,79,새움,24600,102,24123,143,0,,,,0
6000655116 ,[세트] 불의 여신 정이 1~3 세트 - 전3권,2013-08-19,51,권순규,53,황금가지,36000,340,26325,1315,0,,,,0
6000694778 ,[세트] 박완서 소설로 그린 자화상 - 전2권,2005-09-14,56,박완서,2,웅진지식하우스,22000,350,29600,1006,0,,,,0
6000700914 ,[세트] 명량 - 전2권,2012-03-30,57,박은우,165,고즈넉,23000,304,30450,790,8.7,,3,,0
6000788638 ,[세트] 선암여고 탐정단 : 방과 후의 미스터리 + 탐정은 연애 금지 - 전2권,2013-01-25,70,박하익,53,황금가지,27000,420,26800,890,10,,1,,0
9788260700625 ,플라타너스,2010-10-05,81,김영희,168,문학과의식사,10000,300,27600,390,0,,,,0
9788901010502 ,302명의 아내를 가진 남자,1994-06-01,85,이상락,2,웅진지식하우스,4800,296,31080,414,0,,,,0
9788901064345 ,그녀는 안개와 함께 왔다,2007-03-23,87,김미진,169,뿔(웅진),9800,302,30246,423,8,,,,0
9788901079103 ,나가사키 파파,2008-03-18,89,구효서,169,뿔(웅진),10000,304,26325,426,8.7,1,5,,0
9788901085913 ,한국 환상문학 단편선,2008-08-04,58,정지원,170,시작,11000,357,33896,500,7.5,3,14,,0
9788901090634 ,첫눈,2009-01-02,91,이순원,169,뿔(웅진),10000,296,26264,414,9.2,1,4,,0
9788901115139 ,"잘 자요, 엄마",2010-11-26,92,서미애,171,노블마인,12000,360,30450,468,8.5,13,11,,0
9788901117409 ,화투 치는 고양이,2011-02-21,101,이화경,169,뿔(웅진),11000,247,29400,321,8.5,5,5,,0
9788901127569 ,공작새에게 먹이 주는 소녀,2012-03-20,105,김설아,169,뿔(웅진),13000,320,29400,416,0,,,,0
9788901132495 ,데스케어 주식회사,2012-05-21,109,고은규,169,뿔(웅진),13000,296,29400,395,9.3,2,1,,0
9788901137841 ,랭보의 바람구두를 신다,2011-12-30,87,김미진,169,뿔(웅진),14800,508,29400,660,10,,2,,0
9788901139609 ,나의 토익 만점 수기,2012-01-16,110,심재천,2,웅진지식하우스,12000,304,30450,395,8.6,17,26,,0
9788901156194 ,취향입니다 존중해주시죠,2013-04-10,116,이수진,2,웅진지식하우스,13000,364,30450,485,7.8,7,24,,0
9788901163031 ,공부해서 너 가져,2014-03-07,111,김범,2,웅진지식하우스,13000,308,30450,405,9.2,3,5,,0
9788906502828 ,대란 1,1995-08-01,122,야설록,172,계몽사,5500,304,31080,395,6,,1,,0
9788906503269 ,내전 2,1996-11-14,123,김하림,172,계몽사,6000,310,31080,403,0,,,,0
9788908032187 ,상록수,2001-04-25,124,심훈,173,범우사,6000,412,31080,536,6.7,,3,,0
9788908043138 ,무진기행,2003-12-20,128,김승옥,173,범우사,7000,157,24064,220,9,,2,,0
9788908124288 ,직지 앤 나비,2017-11-06,129,공애린,173,범우사,13000,270,34200,513,0,,,,0
9788912071080 ,블루 버터플라이,1996-11-10,132,차현숙,174,고려원(고려원미디어),7000,274,31080,356,0,,,,0
9788912071400 ,소설 홍길동 2,1985-05-01,133,정비석,174,고려원(고려원미디어),3200,278,24064,278,0,,,,0
9788925111681 ,섀델 크로이츠 2,2008-02-15,138,이경영,175,청어람,11000,442,33896,420,0,,,,0
9788925111933 ,"Neo, 박씨부인전 1",2008-02-25,139,서연,175,청어람,9000,406,24064,406,0,,,,0
9788925116679 ,뮤직 온 3,2009-02-05,141,강선우,175,청어람,7000,288,17024,202,0,,,,0
9788925119489 ,섀델 크로이츠 2부 7,2009-10-06,138,이경영,175,청어람,7000,304,31080,395,0,,,,0
9788925122847 ,두 개의 태양 1,2010-09-07,142,유호,175,청어람,11000,384,28980,499,8,2,,,0
9788925501215 ,백치들,2006-09-21,106,김숨,176,랜덤하우스코리아,9800,231,24064,323,6,,2,,0
9788925507866 ,럭키의 죽음,2007-06-18,151,이재웅,176,랜덤하우스코리아,9800,287,29400,373,10,,1,,0
9788925521152 ,귀신전 1,2008-07-21,156,이종호,176,랜덤하우스코리아,9800,296,31080,385,8.5,2,16,,0
9788925521329 ,키친 실험실,2008-07-30,157,장은진,176,랜덤하우스코리아,10000,264,29400,343,8,1,2,,0
9788925548852 ,살수 1,2005-07-25,46,김진명,3,알에이치코리아(RHK),11000,268,34200,370,9.3,3,,,0
9788925550091 ,사서함 110호의 우편물,2013-02-28,76,이도우,3,알에이치코리아(RHK),12000,472,26325,545,9,93,37,,0
9788925559988 ,아담의 Y 염색체,2016-09-30,162,김춘규,3,알에이치코리아(RHK),13800,276,30514,368,0,,,,0
9788925565323 ,백상아리,2019-01-29,162,김춘규,3,알에이치코리아(RHK),14000,248,30514,337,0,,,,0
9788925578248 ,죽어 천년을 살리라 1,2022-05-27,131,이문열,3,알에이치코리아(RHK),17000,428,29400,632,10,,6,,0
9788925705514 ,드래곤 머니 1,2008-06-02,168,권태현,177,로크미디어,8000,352,24064,352,0,,,,0
9788925705927 ,이형재생 1,2008-07-09,169,윤지겸,177,로크미디어,8000,304,24064,304,0,,,,0
9788925706399 ,하이렌 7,2008-09-11,167,사류라,177,로크미디어,8000,304,24064,304,0,,,,0
9788925710136 ,시간은 피다,2009-06-25,172,이헌,177,로크미디어,11000,308,,277,8.3,,6,,0
9788925824093 ,경성탐정록,2009-01-01,174,한동진,178,학산문화사(단행본),12000,470,24064,470,8.2,10,21,,0
9788925877143 ,피의 굴레,2011-10-25,174,한동진,179,북홀릭(bookholic),12000,342,31080,445,8.9,11,22,,0
9788926700204 ,마법지존 6,2009-05-19,175,린,180,파피루스(디앤씨미디어),8000,298,24700,387,0,,,,0
9788926770108 ,"검은 목의 교실, 친구를 부른다",2010-09-30,170,김근우,181,디앤씨미디어(주)(D&C미디어),10000,424,27132,551,9,10,4,,0
9788926770115 ,괴담갑 2면,2010-10-29,41,오트슨,181,디앤씨미디어(주)(D&C미디어),9500,320,27132,416,9.3,10,3,,0
9788926819890 ,뜬살이,2011-02-28,178,박혜범,182,한국학술정보,18000,330,34200,627,0,,,,0
9788927602996 ,충돌 2,2010-10-09,181,정우연,183,환상미디어,9000,400,24064,400,0,,,,0
9788927802518 ,"연애, 하는 날",2011-09-05,183,최인석,4,문예중앙,13000,406,28000,568,8.6,15,24,,0
9788927802716 ,롤리팝과 책들의 정원,2011-11-18,118,박주현,4,문예중앙,12000,288,25536,403,6,1,1,,0
9788927804550 ,청혼,2013-07-22,189,배명훈,4,문예중앙,13800,260,22272,455,7.9,11,8,,0
